gate_row_id,subject_type,subject_id,source_line_id,assigned_status,required_future_scope,required_future_acceptance,forbidden_current_interpretation,notes
source_private_order_response,source_line,private_order_response_source_line,private_order_response_source_line,eligible_for_later_scoped_implementation_task,separate_private_order_response_source_task,separate_task_and_qa_required,private_order_endpoint_or_execution_metric_authorization,Eligibility is only for drafting a later scoped task.
source_replay_lifecycle,source_line,replay_lifecycle_semantics_source_line,replay_lifecycle_semantics_source_line,eligible_for_later_scoped_implementation_task,separate_replay_lifecycle_validation_task,separate_task_and_qa_required,replay_as_execution_proof_or_runner_authorization,Eligibility is only for later scoped validation design or implementation.
source_account_inventory,source_line,account_inventory_source_line,account_inventory_source_line,eligible_for_later_scoped_implementation_task,separate_account_inventory_source_task,separate_task_and_qa_required,account_endpoint_or_inventory_metric_authorization,Eligibility is only for drafting a later scoped task.
source_economics_fee_rebate,source_line,economics_fee_rebate_source_line,economics_fee_rebate_source_line,requires_additional_design_before_implementation,separate_economics_settlement_source_design_or_reader_contract,separate_task_and_qa_required,economics_endpoint_or_pnl_metric_authorization,Economics remains dependent on settlement source authority and conversion policy.
gap_fill_probability,execution_gap,fill_probability,private_order_response_source_line,contract_accepted_design_only,separate_private_order_response_source_task_then_metric_design,separate_task_and_qa_required,fill_probability_proof,Contract accepted but metric unproven.
gap_queue_priority,execution_gap,queue_priority,replay_lifecycle_semantics_source_line,requires_additional_design_before_implementation,separate_queue_semantics_validation_task,separate_task_and_qa_required,queue_priority_or_exact_queue_position_proof,Exact queue position remains rejected.
gap_post_only_reject_behavior,execution_gap,post_only_reject_behavior,private_order_response_source_line,contract_accepted_design_only,separate_private_order_reject_source_task_then_metric_design,separate_task_and_qa_required,post_only_reject_behavior_proof,Contract accepted but behavior metric unproven.
gap_cancel_fill_race,execution_gap,cancel_fill_race,replay_lifecycle_semantics_source_line,requires_additional_design_before_implementation,separate_event_ordering_reconciliation_task,separate_task_and_qa_required,cancel_fill_race_proof,Requires causal event ordering policy.
gap_fees_rebates_spread_capture,execution_gap,fees_rebates_spread_capture,economics_fee_rebate_source_line,requires_additional_design_before_implementation,separate_economics_settlement_source_task,separate_task_and_qa_required,fees_rebates_spread_capture_or_pnl_proof,Requires economics settlement authority.
gap_inventory_lifecycle,execution_gap,inventory_lifecycle,account_inventory_source_line,contract_accepted_design_only,separate_account_inventory_source_task_then_metric_design,separate_task_and_qa_required,inventory_lifecycle_proof,Order fills alone remain insufficient.
gap_real_order_lifecycle,execution_gap,real_order_lifecycle,private_order_response_source_line,contract_accepted_design_only,separate_private_order_lifecycle_source_task_then_metric_design,separate_task_and_qa_required,real_order_lifecycle_proof,Contract accepted but lifecycle proof unproven.
current_endpoint_implementation,current_task,endpoint_or_source_reader_implementation,all,forbidden_current_task,none,not_allowed,endpoint_source_reader_collector_or_runner_authorization,Implementation is out of scope.
current_metric_proof,current_task,execution_or_economics_metric_proof,all,blocked_fail_closed,none,not_allowed,current_metric_or_pnl_proof,Proof remains unavailable.
