field_name,field_category,source_artifact,definition,allowed_use,forbidden_use
context_basis_mid_ticks,decision_time_visible_context,T003 row-level canonical pricing signal rows,"Decision-time Binance mid minus Hyperliquid mid in ticks; positive basis is the root observation-layer context.","Read-only context feature for later design discussion only.","No executable trigger, order side, quote price, quote size, leverage, stop/take-profit, shadow decision, live instruction, or strategy implementation."
basis_magnitude_bucket,decision_time_visible_context,T003 derived context buckets,"Decision-time bucket derived from context_basis_mid_ticks; basis_positive_small is a tail-risk reject condition in T003.","Read-only context and filter-design explanation only.","No executable trigger, row-level case-library entry, or trading instruction."
hl_top5_imbalance_bucket,decision_time_visible_context,T003 derived context buckets,"Decision-time Hyperliquid public top5 imbalance bucket; negative_small is a tail-risk reject condition in T003.","Read-only public venue-state context for design discussion only.","No private/order endpoint usage, order side, quote price, or strategy rule."
hl_microprice_minus_mid_bucket,decision_time_visible_context,T003 derived context buckets,"Decision-time Hyperliquid public microprice-minus-mid bucket; negative_small is a tail-risk reject condition in T003.","Read-only public venue-state context for design discussion only.","No executable trigger, shadow decision, or live behavior."
input_binance_mid_move_ticks_from_prev,decision_time_visible_context,T003 conditioning summary,"Decision-time Binance momentum control used by T003; missing values remain unavailable rather than replaced by future labels.","Read-only control/context field for robustness discussion.","No future label substitution and no strategy trigger."
spread_bucket,diagnostic_context,T003 conditioning summary,"Public observed spread bucket used to check conditioning stability.","Read-only diagnostic reporting and gate checks only.","No quote placement, quote distance, or execution rule."
join_age_bucket,diagnostic_context,T003 conditioning summary,"Observation join-age bucket used to check data freshness sensitivity.","Read-only diagnostic reporting and gate checks only.","No live gate, production config, or order behavior."
visible_movement_bucket,diagnostic_context,T003 conditioning summary,"Public movement/activity proxy used for conditioning checks.","Read-only diagnostic reporting only.","No parameter search or deployment decision."
horizon_ms,future_label_for_research_only,T003 horizon stability summary,"Nominal future horizon for offline outcome evaluation.","Offline research evaluation only.","Forbidden as input, trigger, or case condition."
effective_future_row_delta_count,future_label_for_research_only,T003 horizon stability summary,"Effective future row-delta support count for horizon independence diagnostics.","Offline research evaluation only.","Forbidden as input, trigger, or case condition."
hyperliquid_future_mid_move_ticks,future_label_for_research_only,T003 summaries,"Future Hyperliquid mid move outcome label used to calculate hit rate and wrong-way loss.","Offline research evaluation only.","Forbidden as input, trigger, row-level case condition, or live decision."
fill_probability_unproven,execution_gap_reference,T003 execution gap register,"No private/order lifecycle or live maker order evidence proves fill probability.","Future separately dispatched evidence task reference only.","No claim that maker fill quality is proven."
queue_position_unproven,execution_gap_reference,T003 execution gap register,"Public book observations do not establish actual maker priority or queue-ahead.","Future separately dispatched evidence task reference only.","No queue or priority proof claim."
post_only_reject_unproven,execution_gap_reference,T003 execution gap register,"No order submission path is exercised, so post-only reject behavior is unproven.","Future separately dispatched evidence task reference only.","No post-only execution claim."
cancel_fill_race_unproven,execution_gap_reference,T003 execution gap register,"No cancel/order lifecycle events are observed, so cancel-fill race behavior is unproven.","Future separately dispatched evidence task reference only.","No cancel-fill safety claim."
fees_rebates_spread_capture_unproven,execution_gap_reference,T003 execution gap register,"Public future-mid movement is not realized execution PnL, fees, rebates, or spread capture.","Future separately dispatched evidence task reference only.","No PnL, spread capture, or promotion claim."
inventory_lifecycle_unproven,execution_gap_reference,T003 execution gap register,"There are no positions, fills, or account state in the public observation-layer evidence.","Future separately dispatched evidence task reference only.","No inventory execution claim."
real_order_lifecycle_unproven,execution_gap_reference,T003 execution gap register,"Private/account/order endpoints, user streams, signing, and nonce handling are out of scope.","Future separately dispatched evidence task reference only.","No real order lifecycle proof claim."
