classification_case,evidence_requirement,current_status,fail_closed_required,accepted_future_use,forbidden_current_interpretation,notes
accepted_settlement_maker_label,accepted_economics_settlement_artifact,design_label_only,no,future_classification_context,current_maker_metric,Requires future accepted settlement artifact.
accepted_settlement_taker_label,accepted_economics_settlement_artifact,design_label_only,no,future_classification_context,current_taker_metric,Requires future accepted settlement artifact.
accepted_venue_rule_classification,accepted_venue_rule_provenance_and_settlement_link,design_label_only,no,future_cross_check_context,venue_rule_assumed_as_proof,Requires rule provenance.
private_fill_dependency_context,accepted_future_fill_reference_only,context_only,no,future_dependency_context,maker_taker_proof_from_order_fills_alone,Private fills alone are insufficient.
public_book_context,public_market_context_only,context_only,no,future_context_only,maker_taker_proof_from_public_book,Public context alone is insufficient.
replay_lifecycle_context,replay_supporting_regression_only,context_only,no,future_context_only,maker_taker_proof_from_replay,Replay alone is insufficient.
maker_taker_missing_fail_closed,classification_evidence_missing,fail_closed,yes,none,fee_rebate_or_spread_capture_proof,Missing classification blocks economics proof.
maker_taker_unknown_fail_closed,classification_unknown,fail_closed,yes,none,fee_rebate_or_spread_capture_proof,Unknown classification blocks economics proof.
maker_taker_ambiguous_fail_closed,classification_ambiguous,fail_closed,yes,none,fee_rebate_or_spread_capture_proof,Ambiguous classification blocks economics proof.
maker_taker_conflicting_fail_closed,classification_conflicting,fail_closed,yes,none,fee_rebate_or_spread_capture_proof,Conflicting classification blocks economics proof.
venue_rule_dependency_unaccepted_fail_closed,venue_rule_required_but_unaccepted,fail_closed,yes,none,fee_rebate_or_spread_capture_proof,Unaccepted venue rule blocks economics proof.
unsupported_classification_fail_closed,unsupported_classification_source,fail_closed,yes,none,fee_rebate_or_spread_capture_proof,Unsupported source blocks economics proof.
