condition_id,condition_category,reject_if,required_response,notes
reject_generator_implementation_in_t006,implementation_scope,"T006 adds generator code, executable validator code, CLI, script, package integration, or runtime implementation.","Reject T006 output and require a separate implementation task.","T006 is design-only."
reject_row_level_generation_in_t006,artifact_scope,"T006 produces row-level case entries, source-row catalogs, per-row case outputs, or generated case catalogs.","Reject T006 output.","T006 may define schema rows only."
reject_case_catalog_generation,artifact_scope,"Any artifact contains generated case catalog rows or per-row case entries.","Reject and remove from T006 scope.","Case-library implementation is not authorized."
reject_shadow_decision_generation,artifact_scope,"Any artifact produces shadow side, shadow action, shadow quote, shadow size, shadow order, or shadow decision outputs.","Reject T006 output and block follow-up.","Shadow decisions are forbidden."
reject_executable_trigger_fields,field_schema,"Any field or text defines executable trigger, trading signal, action rule, entry/exit, live gate, or strategy behavior.","Reject the schema direction.","Read-only context cannot become executable behavior."
reject_action_field_definitions,field_schema,"Any output defines order side, quote price, quote size, leverage, stop/take-profit, submit, cancel, fill, order id, lifecycle event, or executable action field.","Reject the schema direction.","No action-capable fields are allowed."
reject_private_order_or_collection_scope_expansion,source_scope,"Any source or output references private/account/order endpoints, user stream, account state, positions, signing, nonce handling, remote execution, new collection, live bot logs, or production configs as allowed inputs.","Reject the proposal.","Allowed sources are local QA-accepted public/canonical artifacts only."
reject_strategy_private_order_live_or_promotion,boundary_text,"Any artifact authorizes strategy implementation, private/order behavior, order lifecycle, live/default-on/tiny-live, parameter search, deployment recommendation, or promotion.","Reject and mark boundary violation.","These terms may appear only as prohibitions or reject conditions."
reject_future_label_as_input,leakage_guard,"Any future label is used as input feature, row filter, case condition, trigger, shadow-decision field, live decision field, or deployment criterion.","Reject and require leakage redesign.","Future labels are output-only research labels."
reject_label_as_trigger_or_shadow_decision,label_schema,"Any read-only label is usable as a trigger, case-library trigger, shadow decision, order side, trading instruction, or live rule.","Reject the label use.","Labels remain read_only_design_label."
reject_diagnostic_to_strategy_upgrade,field_schema,"Diagnostic context is promoted to production gate, parameter, quote-control field, or live behavior.","Reject the schema direction.","Diagnostic context is reporting only."
reject_ad_hoc_source_expansion,lineage,"A future generator reads sources outside input_manifest_allowlist.csv or discovers files without allowlist class constraints.","Reject source expansion.","Every source must be allowlisted and QA tied."
reject_implicit_generator_authorization,qa_gate,"T006 or T005 acceptance is interpreted as authorization to implement a generator or generate rows.","Reject interpretation.","Separate dispatch and QA are required."
reject_execution_layer_proof_overclaim,evidence_boundary,"Any artifact claims fill probability, queue/queue-ahead, post-only reject behavior, cancel-fill race, fees/rebates/spread capture, inventory lifecycle, real order lifecycle, PnL, or maker execution viability is proven.","Reject conclusion and require separate evidence task.","Current evidence is public observation-layer only."
reject_t004_t005_boundary_weakening,boundary_text,"The design weakens T004 field taxonomy, T004 labels, T004/T005 gates, T005 reject conditions, or T005 execution-gap boundaries.","Reject and restore stricter upstream boundary.","T006 may tighten but not relax upstream contracts."
reject_missing_required_artifact,artifact_scope,"Any required T006 design artifact is missing or unparsable.","Reject business completion until fixed.","Required outputs are named in the T006 task."
reject_missing_validation_trace_requirement,qa_gate,"The design omits future validator requirements for source allowlist, schema, leakage, no-action fields, lineage, or execution-gap boundary.","Reject as needs_more_generator_design_detail.","T006 should define future QA inputs."
reject_deployment_or_promotion_language,boundary_text,"Any text recommends deployment, production rollout, promotion, live readiness, tiny-live, default-on, or strategy enablement.","Reject unless it is clearly prohibition/reject-condition language.","T006 final recommendation is design/read-only only."
