field_name,field_group,required,allowed_status_or_type,proof_role,forbidden_current_interpretation,notes
settlement_record_id,settlement_identity,yes,opaque_string,record_identity,endpoint_record_or_trade_instruction,Local artifact identity only.
settlement_record_version,settlement_identity,yes,version_string,record_identity,implementation_version_gate,Version for schema compatibility only.
venue,settlement_identity,yes,string,scope_identity,venue_endpoint_authorization,Venue label is provenance context only.
instrument,settlement_identity,yes,string,scope_identity,tradable_instruction,Instrument identity is not an action.
account_scope_ref,settlement_identity,yes,opaque_string,scope_identity,account_endpoint_authorization,Opaque account reference only.
settlement_scope,settlement_identity,yes,per_fill|per_order|aggregate|unknown_fail_closed,scope_identity,pnl_metric_scope,Unknown scope fails closed.
source_artifact_id,source_provenance,yes,opaque_string,provenance,source_reader_implementation,Local provenance id.
source_class,source_provenance,yes,design_artifact|future_settlement_artifact|unknown_fail_closed,provenance,endpoint_class,Unknown source class fails closed.
source_policy,source_provenance,yes,design_only|accepted_future_source|forbidden_current_task,provenance,collection_permission,Current task remains design_only.
source_task_id,source_provenance,yes,task_id,provenance,current_metric_authority,Records source lineage only.
prior_source_line_context,source_provenance,yes,private_order_future_fill_dependency|replay_future_timestamp_context|account_future_reconciliation_context|none,context_boundary,current_economics_proof,Prior source lines are context only.
validation_gate_id,source_provenance,yes,string,validation_link,metric_pass_claim,Gate reference only.
fail_closed_reason,source_provenance,yes,string_or_none,validation_result,metric_repair_action,Non-none blocks proof use.
opaque_fill_reference,fill_dependency,yes,opaque_string_or_missing,context_reference,fill_proof_or_order_instruction,Future dependency only.
fill_dependency_status,fill_dependency,yes,future_context_only|missing_fail_closed|conflicting_fail_closed|accepted_future_dependency,proof_limit,fill_notional_proof,Fill dependency cannot prove economics alone.
fill_dependency_source_line,fill_dependency,yes,private_order_response_source_line|none,context_reference,current_fill_reader,None or private-order context only.
fill_validation_status,fill_dependency,yes,unvalidated_context|accepted_future_validation|fail_closed,validation_result,fill_probability_proof,Unvalidated context cannot prove economics.
forbidden_fill_only_interpretation,fill_dependency,yes,fill_notional_or_order_fills_alone_cannot_prove_fees_rebates_spread_capture_or_pnl,proof_limit,fees_rebates_spread_capture_proof,Required overclaim guard.
maker_taker_label,maker_taker_classification,yes,maker|taker|zero_fee|unknown_fail_closed|conflicting_fail_closed,classification_label,maker_execution_viability,Unknown or conflicting fails closed.
classification_evidence_type,maker_taker_classification,yes,settlement_label|venue_rule_record|future_accepted_cross_check|missing_fail_closed,classification_evidence,classification_from_public_book_only,Missing evidence fails closed.
venue_rule_dependency_status,maker_taker_classification,yes,not_required|accepted_rule_provenance|unaccepted_rule_fail_closed,classification_validation,venue_rule_assumed,Unaccepted venue-rule dependency fails closed.
classification_validation_status,maker_taker_classification,yes,accepted_future_validation|fail_closed|design_only,validation_result,current_maker_taker_metric,Current task is design_only.
fee_amount,fee_rebate_amounts,yes,decimal_or_missing,amount_context,pnl_value,Requires arithmetic and units.
rebate_amount,fee_rebate_amounts,yes,decimal_or_missing,amount_context,pnl_value,Requires arithmetic and units.
net_fee_amount,fee_rebate_amounts,yes,decimal_or_missing,amount_context,pnl_value,Requires validated arithmetic.
amount_sign_convention,fee_rebate_amounts,yes,explicit_positive_cost_negative_rebate|explicit_positive_rebate_negative_cost|unknown_fail_closed,unit_policy,implicit_pnl_sign,Unknown sign convention fails closed.
fee_currency,fee_rebate_amounts,yes,asset_code_or_missing,unit_policy,common_pnl_unit,Separate from quote asset.
rebate_currency,fee_rebate_amounts,yes,asset_code_or_missing,unit_policy,common_pnl_unit,Separate from quote asset.
settlement_currency,fee_rebate_amounts,yes,asset_code_or_missing,unit_policy,common_pnl_unit,Separate settlement unit.
amount_precision,fee_rebate_amounts,yes,integer_or_missing,precision_policy,unrounded_metric,Precision missing fails closed when needed.
