feature,venue,role,decision,status,source_evidence,next_runner_use,required_gate
binance_top5_imbalance,Binance,lead_pricing_pressure,allow,primary_allowlist,"0601T003 stable against basis_microprice_response,basis_mid_response,hyperliquid_microprice_minus_mid_change,hyperliquid_mid_move,hyperliquid_top5_imbalance_change","z-scored decision-time lead feature","primary rows only; no future/missing join; report horizon/effective age"
binance_microprice_minus_mid_ticks,Binance,lead_microprice_dislocation,allow,primary_allowlist,"0601T003 stable against basis_microprice_response,hyperliquid_mid_move,hyperliquid_top5_imbalance_change","z-scored decision-time lead feature","primary rows only; no future/missing join; report horizon/effective age"
binance_mid_move_ticks_from_prev,Binance,lead_short_horizon_momentum,allow,primary_allowlist,"0601T003 stable against basis_microprice_response,basis_mid_response,hyperliquid_mid_move","z-scored decision-time lead feature","primary rows only; no future/missing join; report horizon/effective age"
binance_top5_bid_qty,Binance,lead_asymmetric_liquidity_pressure,allow,primary_allowlist,"0601T003 stable against basis_microprice_response,basis_mid_response,hyperliquid_microprice_minus_mid_change,hyperliquid_mid_move,hyperliquid_top5_imbalance_change","z-scored decision-time lead feature with asymmetry caveat","must report that ask_qty and total_qty are not primary allowlist"
binance_top5_microprice_px,Binance,absolute_price_context,diagnostic_only,diagnostic_context,"0601T003 stable only for basis responses and watch for hyperliquid_mid_move; absolute level can confound trend","context or transformed/differenced feature only","must not be used as raw directional pricing lead"
binance_rolling_abs_mid_move_ticks_5,Binance,volatility_context,diagnostic_only,regime_context,"0601T003 unstable as directional feature","regime/context feature only","must not drive directional candidate decision"
binance_rolling_rv_ticks_20,Binance,volatility_regime,diagnostic_only,regime_context,"0601T003 uses this for Binance volatility buckets; unstable as directional feature","regime bucket only","must not drive directional candidate decision"
binance_top5_ask_qty,Binance,liquidity_context,diagnostic_only,liquidity_context,"0601T003 did not show stable directional value comparable to bid_qty","context only","must not drive directional candidate decision"
binance_top5_total_qty,Binance,liquidity_context,diagnostic_only,liquidity_context,"0601T003 did not show stable directional value","context only","must not drive directional candidate decision"
binance_trade_pressure,Binance,trade_pressure,disabled,rejected_until_side_semantics_proven,"0601T002 and 0601T003 keep trade pressure disabled_unverified_side_semantics","not available","requires separate QA-accepted side-semantics proof"
hyperliquid_mid_px,Hyperliquid,venue_state,allow,context_only,"0531T001 accepted public market-view consumer","decision-time venue-state context","must be decision-time visible only"
hyperliquid_spread_ticks,Hyperliquid,venue_state,allow,context_only,"0531T001 accepted public market-view consumer","decision-time venue-state context and quality gate","must be decision-time visible only"
hyperliquid_top5_imbalance,Hyperliquid,venue_state,allow,context_only,"0531T001 accepted public market-view consumer","conditioning context; not future label input","must be decision-time visible only"
hyperliquid_microprice_minus_mid_ticks,Hyperliquid,venue_state,allow,context_only,"0531T001 accepted public market-view consumer","conditioning context; not future label input","must be decision-time visible only"
hyperliquid_join_age_ms,Hyperliquid,market_view_quality,allow,quality_gate,"0531T001 accepted join-age/cadence/recovery quality reporting","quality gate and watch/diagnostic classifier","must be reported in quality summary"
hyperliquid_recovery_state,Hyperliquid,market_view_quality,allow,quality_gate,"0531T001 accepted recovery snapshot/session evidence","quality gate and watch/diagnostic classifier","must be reported in quality summary"
hyperliquid_trade_pressure,Hyperliquid,trade_pressure,disabled,rejected_until_side_semantics_proven,"0531T001 keeps trade pressure disabled because side semantics are unverified","not available","requires separate QA-accepted side-semantics proof"
basis_mid_dislocation,Joint,basis_context,allow,context_only_supported,"0608T005 confirmed decision-time formula lineage/as-of cleanliness for context_basis_mid_ticks while retaining execution-PnL caveat","read-only decision-time context only","must not be treated as execution PnL, strategy-ready signal, case-library trigger, shadow decision, or live/promotion evidence"
basis_microprice_dislocation,Joint,basis_context,diagnostic_only,diagnostic_context,"0601T003 stable basis responses exist but remain contract-caveated","diagnostic label/context only","must not be treated as execution PnL or strategy-ready signal"
private_order_lifecycle,Hyperliquid,execution_private,disabled,forbidden,"0601T004 scope forbids private/order endpoints and lifecycle","not available","requires separate future task and QA"
post_only_execution_safety,Hyperliquid,execution_safety,diagnostic_only,future_context_placeholder,"not available in public-only source; allowed only as future private/order context when separately scoped","placeholder only","must not be synthesized from public data"
