window_id,attempt_id,field_name,reconstruction_status,current_source,reason,required_future_artifact_field
0708T001,1,resting_start_ts,not_reconstructable_from_current_artifact,missing,"current artifact records local exchange response timing, not exchange-side order-resting timestamp",order_resting_exchange_time_ms
0708T001,1,cancel_or_shutdown_ts,not_reconstructable_from_current_artifact,missing,current artifact records hold duration/cancel proof without cancel acknowledgement timestamp,cancel_ack_exchange_time_ms_or_shutdown_proof_time_ms
0708T001,1,same_side_visible_depth_at_resting_start,not_reconstructable_from_current_artifact,same_side_depth_proxy_matrix.csv,"current depth is post-open-orders inline-reprice/pre-submit proxy, not a snapshot after exchange resting acknowledgement",resting_start_l2_book_snapshot_at_or_after_order_resting
0708T001,1,public_trades_during_resting_interval,not_reconstructable_from_current_artifact,rolling_flow_state.csv,prior_reference_has_no_local_resting_interval_public_flow_artifact,"resting_interval_public_trades.csv: exchange_time_ms, local_receive_ts_ns, side/aggressor, px, size_btc"
0708T001,1,depletion_trade_through_estimate,not_reconstructable_from_current_artifact,current_candidate_audit.csv / rolling_flow_state.csv,rolling decision-time proxy is not actual resting-interval trade-through/depletion,interval trade-through totals plus resting_start/cancel l2 top-depth snapshots
0709T001_window_02,1,resting_start_ts,local_exchange_response_end_proxy_not_exact_exchange_resting_timestamp,event_driven_latency_matrix.exchange_order_response.end_unix_seconds,"current artifact records local exchange response timing, not exchange-side order-resting timestamp",order_resting_exchange_time_ms
0709T001_window_02,1,cancel_or_shutdown_ts,derived_from_response_end_plus_hold_elapsed_not_exact_cancel_ack,resting_start_ts_proxy_plus_quote_aging_guard_matrix.hold_elapsed_seconds,current artifact records hold duration/cancel proof without cancel acknowledgement timestamp,cancel_ack_exchange_time_ms_or_shutdown_proof_time_ms
0709T001_window_02,1,same_side_visible_depth_at_resting_start,pre_submit_reprice_l2_proxy_not_exact_resting_start_l2,same_side_depth_proxy_matrix.csv,"current depth is post-open-orders inline-reprice/pre-submit proxy, not a snapshot after exchange resting acknowledgement",resting_start_l2_book_snapshot_at_or_after_order_resting
0709T001_window_02,1,public_trades_during_resting_interval,not_reconstructable_from_current_artifact,rolling_flow_state.csv,rolling/public state artifacts end before or at the order-response proxy; no individual public trade events cover the resting interval,"resting_interval_public_trades.csv: exchange_time_ms, local_receive_ts_ns, side/aggressor, px, size_btc"
0709T001_window_02,1,depletion_trade_through_estimate,not_reconstructable_from_current_artifact,current_candidate_audit.csv / rolling_flow_state.csv,rolling decision-time proxy is not actual resting-interval trade-through/depletion,interval trade-through totals plus resting_start/cancel l2 top-depth snapshots
0709T001_window_03,1,resting_start_ts,local_exchange_response_end_proxy_not_exact_exchange_resting_timestamp,event_driven_latency_matrix.exchange_order_response.end_unix_seconds,"current artifact records local exchange response timing, not exchange-side order-resting timestamp",order_resting_exchange_time_ms
0709T001_window_03,1,cancel_or_shutdown_ts,derived_from_response_end_plus_hold_elapsed_not_exact_cancel_ack,resting_start_ts_proxy_plus_quote_aging_guard_matrix.hold_elapsed_seconds,current artifact records hold duration/cancel proof without cancel acknowledgement timestamp,cancel_ack_exchange_time_ms_or_shutdown_proof_time_ms
0709T001_window_03,1,same_side_visible_depth_at_resting_start,pre_submit_reprice_l2_proxy_not_exact_resting_start_l2,same_side_depth_proxy_matrix.csv,"current depth is post-open-orders inline-reprice/pre-submit proxy, not a snapshot after exchange resting acknowledgement",resting_start_l2_book_snapshot_at_or_after_order_resting
0709T001_window_03,1,public_trades_during_resting_interval,not_reconstructable_from_current_artifact,rolling_flow_state.csv,rolling/public state artifacts end before or at the order-response proxy; no individual public trade events cover the resting interval,"resting_interval_public_trades.csv: exchange_time_ms, local_receive_ts_ns, side/aggressor, px, size_btc"
0709T001_window_03,1,depletion_trade_through_estimate,not_reconstructable_from_current_artifact,current_candidate_audit.csv / rolling_flow_state.csv,rolling decision-time proxy is not actual resting-interval trade-through/depletion,interval trade-through totals plus resting_start/cancel l2 top-depth snapshots
