requirement_id,requirement_type,scope,required_check,reject_if,notes
reject_order_side_fields,field_schema,all_columns,"Reject fields or aliases for side, order_side, buy, sell, bid_action, ask_action, long, short, reduce, add, maker_side, or taker_side.","Any output column or free-text field defines actual or shadow order side.","Read-only context must not become an action artifact."
reject_quote_price_fields,field_schema,all_columns,"Reject fields or aliases for quote price, bid price, ask price, limit price, target price, fair quote, or executable price.","Any output defines quote price or price instruction.","Future mid move labels are research outputs only, not quote prices."
reject_quote_size_fields,field_schema,all_columns,"Reject fields or aliases for quote size, order quantity, notional, size multiplier, inventory target, or exposure target.","Any output defines quote size or size instruction.","No position or account state is allowed."
reject_leverage_stop_take_profit_fields,field_schema,all_columns,"Reject leverage, margin, stop, stop_loss, take_profit, liquidation, or risk order fields.","Any output defines leverage or stop/take-profit behavior.","No executable risk-management output is allowed."
reject_submit_cancel_fill_fields,field_schema,all_columns,"Reject submit, cancel, fill, replace, amend, ack, order_id, client_order_id, lifecycle, or execution event fields.","Any output defines or implies order lifecycle behavior.","Execution-layer lifecycle remains unproven."
reject_executable_trigger_fields,field_schema,all_columns,"Reject trigger, signal, rule, action, decision, enable, disable, entry, exit, or deploy fields when action-capable.","Any output can drive strategy or order behavior.","Read-only labels cannot become triggers."
reject_shadow_decision_fields,field_schema,all_columns,"Reject shadow side, shadow action, shadow quote, shadow size, shadow order, or shadow PnL fields.","Any output generates or stores shadow decisions.","T006 forbids shadow decisions."
reject_private_order_live_fields,field_schema,all_columns,"Reject private endpoint, account endpoint, order endpoint, user stream, position, signing, nonce, live, default-on, tiny-live, or bot behavior fields.","Any output references private/order/live behavior as allowed or implemented.","Observation-layer public artifacts only."
reject_parameter_search_fields,field_schema,all_columns,"Reject parameter, sweep, grid, optimization, candidate parameter, or selected parameter outputs.","Any output performs or records parameter search as a result.","Parameter search is outside T006."
reject_deployment_promotion_fields,field_schema,all_columns,"Reject deploy, rollout, promotion, production, default, enablement, live readiness, or release recommendation outputs.","Any output recommends deployment or promotion.","T006 cannot authorize deployment."
reject_action_aliases_in_text,boundary_text,all_text_fields,"Scan free-text metadata for action-capable aliases, instructions, or recommendation language.","Text instructs order side, quote price/size, leverage, stop/take-profit, submit/cancel/fill, strategy/live/deployment, or promotion.","Boundary text may mention these terms only as prohibitions."
require_no_action_validation_trace,validation_trace,validator_outputs,"Require a future validator output proving no action-capable fields exist.","No no-action-field validation trace exists in a future implementation artifact.","T006 defines the requirement only; no validator code is implemented here."
