input_class,allowed_status,required_source,required_qa_status,allowed_use,explicit_reject
t003_filtered_context_manifest,allowed,local_live_analysis/basis_positive_filtered_context_viability_0609T003/filtered_context_viability_manifest.json,passed,"Source evidence metadata and accepted public/canonical lineage only.","Reject if missing QA pass, modified outside accepted lineage, or used as live/strategy/private/order input."
t003_filtered_context_summaries,allowed,local_live_analysis/basis_positive_filtered_context_viability_0609T003/*.csv,passed,"Aggregate and diagnostic evidence snapshots only; no row generation in T006.","Reject ad hoc row catalogs, private data, live bot logs, account state, or production config."
t004_case_design_manifest,allowed,local_live_analysis/basis_positive_clean_case_design_0609T004/case_design_manifest.json,passed,"Field taxonomy, label taxonomy, and evidence gate inheritance.","Reject if T004 boundary flags are weakened or future labels are treated as inputs."
t004_field_contract,allowed,local_live_analysis/basis_positive_clean_case_design_0609T004/case_field_contract.csv,passed,"Allowed field category source of truth for a future generator schema.","Reject any field outside T004 taxonomy unless a separate QA-accepted contract adds it."
t004_label_contract,allowed,local_live_analysis/basis_positive_clean_case_design_0609T004/case_label_contract.csv,passed,"Read-only label definitions only.","Reject label use as trigger, order side, case-library trigger, shadow decision, or live decision."
t004_acceptance_and_reject_artifacts,allowed,local_live_analysis/basis_positive_clean_case_design_0609T004/case_acceptance_gate.md,passed,"Gate and reject-condition inheritance for future generator QA.","Reject any proposal that weakens T004 gates or removes execution-gap boundaries."
t005_schema_manifest,allowed,local_live_analysis/basis_positive_case_library_schema_design_0609T005/schema_design_manifest.json,passed,"Schema boundary and prerequisite inheritance.","Reject if final recommendation is not read_only_case_library_schema_ready."
t005_schema_contract,allowed,local_live_analysis/basis_positive_case_library_schema_design_0609T005/case_library_schema_contract.csv,passed,"Container schema component inheritance for future row-level artifact design.","Reject forbidden components such as row-level entries in T006, case catalog, shadow decisions, executable triggers, or strategy/private/order/live components."
t005_validator_requirements,allowed,local_live_analysis/basis_positive_case_library_schema_design_0609T005/validator_requirements.csv,passed,"Design-only validator requirement inheritance.","Reject executable validator implementation inside T006."
t005_acceptance_and_reject_artifacts,allowed,local_live_analysis/basis_positive_case_library_schema_design_0609T005/schema_acceptance_gate.md,passed,"Generator acceptance and rejection inheritance.","Reject implicit row generation authorization."
t005_row_level_prerequisite_register,allowed,local_live_analysis/basis_positive_case_library_schema_design_0609T005/row_level_artifact_prerequisite_register.md,passed,"Prerequisites for later row-level artifact discussion.","Reject treating prerequisites as approval to implement or generate rows."
t005_execution_gap_boundary_register,allowed,local_live_analysis/basis_positive_case_library_schema_design_0609T005/execution_gap_boundary_register.md,passed,"Execution-layer unproven gap inheritance.","Reject fill/queue/post-only/cancel-fill/fees/inventory/order-lifecycle proof overclaim."
upstream_public_pricing_signal_rows_reference,conditional_allowed,T003 manifest row_level_input_policy,passed,"Future implementation may reference accepted public/canonical pricing-signal source rows only after separate dispatch and QA.","Reject source-row reading in T006, ad hoc expansion, private/order/live sources, or row generation without separate QA."
remote_or_private_sources,forbidden,none,not_applicable,"None.","Reject remote execution, private/account/order endpoints, user streams, account state, positions, signing, nonce handling, live bot behavior, or production config sources."
