rule_id,rejected_claim,rejected_evidence_or_trigger,current_status,required_response,notes
reject_hypothetical_spread_proof,fees_rebates_spread_capture_or_pnl_proof,hypothetical_spread,fail_closed,reject_claim,Hypothetical spread cannot prove realized economics.
reject_fill_notional_proof,fees_rebates_spread_capture_or_pnl_proof,fill_notional,fail_closed,reject_claim,Fill notional cannot prove fees rebates spread capture.
reject_order_fills_alone_proof,fees_rebates_spread_capture_or_pnl_proof,order_fills_alone,fail_closed,reject_claim,Order fills alone cannot prove economics.
reject_public_markout_alone_proof,spread_capture_or_pnl_proof,public_markout_alone,fail_closed,reject_claim,Public markout is context only.
reject_account_inventory_alone_proof,fees_rebates_spread_capture_or_pnl_proof,account_inventory_alone,fail_closed,reject_claim,Inventory is reconciliation context only.
reject_replay_lifecycle_alone_proof,fees_rebates_spread_capture_or_pnl_proof,replay_lifecycle_alone,fail_closed,reject_claim,Replay remains supporting regression only.
reject_missing_bad_settlement_proof,fee_rebate_or_spread_capture_proof,missing_delayed_partial_unknown_ambiguous_conflicting_or_unsupported_settlement,fail_closed,reject_claim,Bad settlement states block proof.
reject_non_arithmetic_proof,fee_rebate_or_pnl_proof,settlement_label_without_arithmetic,fail_closed,reject_claim,Labels alone are not arithmetic proof.
reject_unit_conversion_bad_proof,economics_or_pnl_proof,unit_inconsistent_precision_invalid_conversion_missing_or_conversion_conflicting,fail_closed,reject_claim,Common-unit economics require conversion validation.
reject_maker_taker_unknown_proof,fee_rebate_or_spread_capture_proof,maker_taker_missing_unknown_ambiguous_conflicting_or_unsupported,fail_closed,reject_claim,Classification must be validated.
reject_pnl_proof,pnl_proof,any_current_0610T009_artifact,fail_closed,reject_claim,Design-only artifacts do not prove PnL.
reject_maker_viability_proof,maker_execution_viability_proof,any_current_0610T009_artifact,fail_closed,reject_claim,No execution-layer viability proof.
reject_live_default_tiny_live_readiness,live_default_on_or_tiny_live_readiness,any_current_0610T009_artifact,fail_closed,reject_claim,No live readiness.
reject_deployment_promotion_proof,deployment_or_promotion_readiness,any_current_0610T009_artifact,fail_closed,reject_claim,No deployment or promotion.
reject_future_label_as_decision,future_label_as_strategy_shadow_case_parameter_live_or_deployment_criterion,any_design_label,fail_closed,reject_claim,Future labels cannot drive decisions here.
