requirement_id,requirement_type,scope,required_check,reject_if,notes
reject_executable_or_live_authorization_language,boundary_text,schema_documents,"Scan schema documents and manifest text for authorization language around executable triggers, strategy behavior, live/default-on/tiny-live, deployment, or promotion.","The artifact grants or implies executable authorization instead of prohibition or boundary language.","Design-only requirement; no validator code is implemented in T005."
reject_private_order_or_collection_scope_expansion,boundary_text,lineage_references,"Require lineage references to accepted local public artifacts only.","The schema references private/account/order endpoints, new collection, or remote execution as an allowed action.","Lineage may cite T002 paths only as historical provenance."
reject_row_level_entry_generation,structure,all_outputs,"Require zero row-level case entries, zero case catalog rows, and no per-row case output files in T005.","Any artifact contains generated row-level case entries or a case catalog.","Future row-level read-only artifacts require a separate task and QA."
reject_action_field_definitions,field_schema,field_contract_reference,"Forbid fields named or typed as order side, quote price, quote size, leverage, stop, take-profit, submit, cancel, fill, or live action outputs.","The schema defines action-capable trading fields.","Execution fields cannot be introduced by a schema-design task."
reject_executable_trigger_fields,field_schema,decision_time_visible_context,"Require decision-time visible context fields to be marked read-only context or rationale only.","Any decision-time context field is marked as a trigger, order condition, live rule, or shadow decision input.","Context fields may support later read-only discussion only."
reject_diagnostic_to_strategy_upgrade,field_schema,diagnostic_context,"Require diagnostic fields to remain diagnostic or gate-summary only.","A diagnostic field is promoted to production gate, parameter, quote-control, or live behavior.","Diagnostic context cannot become strategy behavior in T005."
reject_label_as_trigger_or_shadow_decision,label_schema,read_only_label_contract,"Require all labels to remain read_only_design_label or read-only context labels.","A label is usable as a case-library trigger, shadow decision, order side, or trading instruction.","Labels inherit T004 forbidden-use language."
reject_future_label_as_input,field_schema,future_label_research_outputs,"Require future labels to appear only in output or evidence sections and never in input, condition, trigger, or shadow-decision sections.","A future label is referenced as an input feature, filter condition, trigger, case condition, or live decision field.","This guards against offline label leakage."
reject_validator_code_in_schema_task,implementation_scope,validator_requirement_reference,"Require validator content in T005 to be requirements or design-only pseudocode at most.","Executable validator code or enforcement implementation is added in T005.","A later task may implement validators only if separately dispatched."
reject_implicit_row_level_authorization,qa_gate,acceptance_gate_reference,"Require the acceptance gate to say that later row-level artifacts need a separate task and QA before generation.","The gate implies that passing T005 authorizes row-level artifact generation.","T005 readiness is schema readiness only."
reject_boundary_override,boundary_text,reject_condition_reference,"Require reject conditions to preserve T004 boundaries without weakening them.","Any reject condition removes or weakens T004 forbidden behavior boundaries.","T005 may tighten but not relax T004."
reject_execution_layer_proof_overclaim,evidence_boundary,execution_gap_reference,"Require every execution-layer item to remain unproven unless a separate QA-accepted evidence task is cited.","The schema claims fill probability, queue, post-only, cancel-fill, fees, inventory, or real order lifecycle is proven.","Current evidence is public observation-layer only."
reject_strategy_private_order_live_or_promotion,boundary_text,forbidden_components,"Reject any component that supports strategy implementation, private/order endpoint behavior, live/default-on/tiny-live, parameter search, deployment recommendation, or promotion.","A forbidden component is marked allowed or required.","This is a hard schema-level rejection."
