reject_condition,condition_type,required_action
attempts_executable_trigger,forbidden_behavior,"Reject the schema direction; executable triggers are outside T005."
attempts_case_library_implementation,forbidden_behavior,"Reject the direction; case-library implementation is not authorized."
attempts_row_level_case_entries,forbidden_behavior,"Reject the direction; T005 may define future format requirements but must not generate row-level case entries."
attempts_case_catalog_generation,forbidden_behavior,"Reject the direction; case catalogs are row-level artifacts and are not authorized."
attempts_shadow_decision_generation,forbidden_behavior,"Reject the direction; shadow decisions are not authorized."
attempts_order_side_or_quote_price_or_size_output,forbidden_behavior,"Reject the direction; order side, quote price, and quote size outputs are forbidden."
attempts_leverage_stop_or_take_profit_output,forbidden_behavior,"Reject the direction; leverage, stop, and take-profit outputs are forbidden."
attempts_private_account_endpoint_use,forbidden_behavior,"Reject the direction; private/account endpoints are forbidden."
attempts_order_endpoint_use,forbidden_behavior,"Reject the direction; order endpoints are forbidden."
attempts_order_lifecycle_logic,forbidden_behavior,"Reject the direction; submit/cancel/fill lifecycle logic is forbidden."
attempts_strategy_implementation,forbidden_behavior,"Reject the direction; strategy implementation is forbidden."
attempts_live_default_on_or_tiny_live,forbidden_behavior,"Reject the direction; live/default-on/tiny-live behavior is forbidden."
attempts_parameter_search,forbidden_behavior,"Reject the direction; parameter search is forbidden."
attempts_promotion_or_deployment_recommendation,forbidden_behavior,"Reject the direction; promotion and deployment recommendation are forbidden."
uses_future_label_as_input_or_trigger,field_misuse,"Reject the schema until future labels are removed from inputs, filters, triggers, case conditions, and shadow-decision fields."
weakens_t004_field_taxonomy,boundary_regression,"Reject the schema until T004 field categories and forbidden-use rules are restored."
clean_context_sample_count_below_7,evidence_gate_failure,"Reject or return to public-sample validation; sample coverage gate failed."
clean_context_max_sample_share_at_or_above_0_40,evidence_gate_failure,"Reject or return to public-sample validation; concentration gate failed."
clean_p95_wrong_way_improvement_not_positive,evidence_gate_failure,"Reject filtered context viability; tail-risk improvement gate failed."
sample_horizon_or_conditioning_negative_mean_reversal,evidence_gate_failure,"Reject or downgrade to context-only watch; stability gate failed."
claims_execution_layer_proof_without_qa,evidence_boundary_failure,"Reject the direction; execution-layer evidence requires a separate task and QA."
claims_maker_execution_viability,evidence_boundary_failure,"Reject the direction; schema design does not prove execution-layer maker viability."
implements_validator_code_in_t005,scope_expansion,"Reject or split into a separate implementation task; T005 allows validator requirements only."
