requirement_id,requirement_type,scope,required_check,reject_if,notes
reject_future_label_input_section,field_schema,input_sections,"Require future_label_for_research_only fields to be absent from input feature sections.","horizon_ms, effective_future_row_delta_count, hyperliquid_future_mid_move_ticks, or aliases appear as input features.","Future labels are offline outputs only."
reject_future_label_filter_condition,field_schema,row_filters,"Require future labels to be absent from row selection, filtering, and clean-context conditions.","Any future label is used to select, filter, include, exclude, or define a case row.","Clean context must be decision-time visible and inherited from T004/T003."
reject_future_label_trigger,field_schema,trigger_like_sections,"Require future labels to be absent from executable trigger, rule, or signal sections.","Any future label appears in trigger, rule, signal, alert, or action-condition language.","T006 forbids executable behavior."
reject_future_label_shadow_decision,field_schema,shadow_decision_sections,"Require no future label in shadow side, shadow action, shadow quote, or shadow decision fields.","A future label influences or is stored as a shadow decision field.","T006 forbids shadow decision generation."
reject_future_label_live_decision,field_schema,live_sections,"Require future labels to be absent from live/default-on/tiny-live/deployment decision sections.","A future label is used for live readiness, deployment, default-on, tiny-live, or promotion claims.","Future labels cannot drive live or deployment decisions."
reject_future_label_join_back_to_context,provenance,join_logic,"Require future labels to be joined only after decision-time context is fixed and only as outputs.","Future labels are joined before context construction or are available to context field derivation.","Guards against offline label leakage."
reject_future_label_aliases,field_schema,all_columns,"Require alias scans for future outcome, markout, future move, horizon result, hit, wrong-way, or outcome-as-input names.","A future-label alias is categorized as decision_time_visible_context or diagnostic_context input.","Alias checks must be part of a later validator."
reject_future_label_in_case_label,field_schema,read_only_label,"Require case_label to be inherited from T004 labels, not computed from future outcomes.","case_label uses future mid move, hit rate, wrong-way loss, or horizon output as a condition.","Read-only labels cannot become hindsight-selected cases."
reject_future_label_in_free_text,boundary_text,all_text_fields,"Scan free-text metadata for future-label-as-input or outcome-selected language.","Text says future outcome drives input, trigger, filter, condition, shadow decision, live decision, or deployment.","Text leakage is rejected even if columns look clean."
require_future_label_output_only_trace,validation_trace,validator_outputs,"Require a future validator output proving future labels are output-only.","No validation trace exists for future-label output-only proof.","T006 defines the requirement only; no validator code is implemented here."
